	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27	Cell 28	Cell 29	Cell 30	Cell 31	Cell 32	Cell 33	Cell 34	Cell 35	Cell 36	Cell 37	Cell 38	Cell 39	Cell 40	Cell 41	Cell 42	Cell 43	Cell 44	Cell 45	Cell 46	Cell 47	Cell 48	Cell 49	Cell 50	Cell 51	Cell 52	Cell 53	Cell 54	Cell 55	Cell 56	Cell 57	Cell 58	Cell 59	Cell 60	Cell 61	Cell 62	Cell 63	Cell 64	Cell 65	Cell 66	Cell 67	Cell 68	Cell 69	Cell 70	Cell 71	Cell 72	Cell 73	Cell 74	Cell 75	Cell 76	Cell 77	Cell 78	Cell 79	Cell 80	Cell 81
Zfp953	-0.0020055	-0.0020055	0.30767	-0.0020055	2.4028	-0.0020055	-0.0020055	-0.0020055	-0.0020055	0.44217	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	1.5277	-0.0020055	-0.0020055	-0.0020055	1.033	-0.0020055	-0.0020055	-0.0020055	-0.0020055	3.2644	-0.0020055	-0.0020055	1.1646	-0.0020055	0.25612	-0.0020055	-0.0020055	2.7546	0.22656	2.9058	-0.0020055	-0.0020055	-0.0020055	0.17833	-0.0020055	-0.0020055	0.35534	-0.0020055	-0.0020055	3.3134	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	-0.0020055	1.9003	-0.0020055	-0.0020055	-0.0020055	-0.0020055	1.6956	-0.0020055	0.06857	-0.0020055	0.11401	0.33032	-0.0020055	-0.0020055	-0.0020055	-0.0020055	1.2745	-0.0020055	-0.0020055	-0.0020055	-0.0020055	0.67629
Tug1	2.1771	2.7362	2.8134	3.1811	2.5453	2.2604	2.1666	3.138	3.6189	1.6837	3.4845	2.4229	1.943	3.3925	1.3073	2.3953	3.8334	2.0583	1.8246	2.3247	2.304	2.8488	4.2317	3.2234	2.5658	2.0782	3.5372	1.9673	3.4191	1.9931	2.5989	2.0011	2.7192	2.2982	3.6118	1.7939	1.88	2.9978	3.0895	1.8565	3.2132	1.0121	2.8103	3.0445	2.2058	3.2286	3.2853	2.3902	1.3167	2.9242	2.3651	2.7014	1.9195	2.6355	2.7139	2.6733	3.0937	2.0036	3.0474	3.3756	2.7933	2.2018	2.482	1.8268	2.6127	2.5544	2.6381	2.2381	1.935	1.9046	3.2242	1.9704	2.4111	4.2092	2.5493	1.6781	2.023	1.95	4.8014	1.9855	1.0243
Chd9	0.046222	0.58802	1.8054	0.37014	0.53346	0.73794	0.91019	2.0423	2.7565	-0.15096	2.8714	0.91354	2.728	0.21641	-0.60632	1.7111	0.6183	1.8166	3.2757	1.2904	1.94	-0.1878	0.38397	-0.29653	2.2062	2.079	0.15089	3.2446	2.1716	0.51541	2.6241	0.87396	3.6065	2.425	1.7299	0.10286	0.72766	0.37022	0.2956	2.0841	-0.45606	1.2015	-0.021126	2.6945	0.15888	0.72609	0.057328	1.7372	1.5569	2.104	2.9111	-0.41511	0.27571	3.1372	-0.10809	0.96955	-0.080417	0.65089	-0.15189	3.7558	2.9617	0.60273	1.4365	1.4783	1.7846	2.4571	1.2887	0.37852	0.2126	0.80046	-0.19927	0.6081	2.4206	1.6376	1.9706	1.2804	0.89881	1.8277	0.67238	3.4247	1.1032
Retsat	1.1488	0.50638	-0.13901	2.4605	3.2173	0.49255	0.79658	2.2015	1.8151	-0.1015	2.2438	1.0456	0.85888	0.83092	2.8253	-0.082387	1.4108	0.6288	1.0511	0.22157	0.43196	1.0954	2.3105	0.13258	0.31415	3.3408	-0.17641	-0.3543	0.6752	0.34383	2.1752	1.1529	0.34914	1.3952	0.51133	3.7966	2.803	3.1398	0.62191	0.14692	1.4855	2.1506	1.5781	2.3121	0.49877	0.1411	1.0559	0.99682	1.751	1.3377	-0.069641	-0.27804	0.18364	0.96106	2.0042	0.64917	-0.054362	0.14866	1.1659	-0.11724	-0.3011	0.31628	0.98991	0.52758	-0.14013	0.23972	2.1	0.65947	0.65629	0.39558	-0.35588	1.1926	0.23507	0.070864	0.14603	0.66248	1.3245	1.1932	0.3593	0.22496	-0.30774
Prelid2	3.7017	4.1288	2.8103	1.7947	3.36	2.3336	2.3372	3.0979	4.2805	3.0485	3.8239	2.1807	3.0353	3.2016	3.2307	3.8	3.755	3.3454	3.289	3.7017	3.1202	3.2279	4.0848	3.5947	2.6693	2.8286	3.233	3.3289	3.1551	3.6676	2.9618	3.6031	3.5137	2.9577	3.5942	3.8071	3.2928	3.8039	3.0501	4.2135	3.3581	2.8211	3.4226	3.7576	2.0722	2.4263	3.5531	2.8053	3.2191	3.3634	4.0627	3.0578	3.5226	3.5486	2.9198	2.5988	3.5882	4.0147	3.8346	4.0159	2.4864	2.8852	3.4811	3.9696	3.3374	4.0493	2.8342	3.0091	3.9964	3.9878	3.0023	2.8422	2.6348	3.7451	4.1282	3.0188	2.1946	2.7344	3.5797	3.9964	3.4742
Kdm5d	-0.0074232	2.1509	2.776	-0.0074232	-0.0074232	1.4418	0.22984	2.7238	0.83885	0.65243	0.86487	0.51701	0.59159	2.2164	-0.0074232	-0.0074232	1.0585	0.75983	2.0878	2.9857	2.0968	2.0296	2.6089	0.51023	0.13067	1.9252	1.9483	2.9397	0.95085	-0.0074232	-0.0074232	0.82815	2.9159	3.0926	-0.0074232	-0.0074232	1.115	0.90667	1.5975	0.37044	0.53598	-0.0074232	1.0859	1.02	0.93606	0.42366	-0.0074232	0.93249	-0.0074232	1.149	2.8761	-0.0074232	0.37003	0.84645	1.0544	0.024445	0.35274	2.901	2.0109	3.8088	2.8535	0.06156	3.4104	2.9872	0.92414	0.27286	2.92	1.7874	3.3099	0.20018	0.51147	1.6296	0.87703	2.9532	-0.0074232	0.80971	1.3684	0.7628	0.4412	-0.0074232	0.34512
D17Wsu92e	1.8879	2.3123	2.6792	1.6933	3.5751	2.1744	1.0062	1.8163	1.652	0.59989	2.0278	1.4117	3.059	2.6748	-0.53692	2.7092	2.3278	-0.53174	1.0985	1.5217	2.3058	-0.17004	3.5476	1.7885	1.4102	2.5622	3.037	2.2981	1.9874	1.7317	1.7388	1.9643	1.2421	1.645	2.1362	1.2344	2.9045	0.19534	2.85	0.41668	2.4783	3.7687	0.048071	2.5042	2.8775	3.1444	3.1218	1.6029	1.9434	3.0958	2.8523	2.6908	1.4504	2.9925	2.5348	0.85556	0.47898	1.4004	2.0472	2.3821	2.9376	1.7373	1.8021	3.1974	-0.18841	0.88127	2.7453	2.8176	3.0574	1.3094	2.8613	3.239	2.7958	1.1768	0.95247	2.2275	0.88539	1.6634	2.2244	3.2845	1.1694
Elmod3	0.28082	0.33458	1.3	0.21012	2.5769	0.59911	0.65314	3.1513	0.086082	3.5298	3.5724	0.7264	0.7374	1.2242	-0.34763	2.0954	0.56345	-0.34425	0.41284	0.1886	0.6119	1.5197	3.7207	-0.17067	0.5106	-0.37895	-0.15155	0.76746	0.30643	0.39959	2.7078	0.37239	0.557	0.19999	2.9592	0.057455	0.90932	0.43763	0.27752	0.1248	2.8993	-0.19187	-0.34668	0.60769	0.52209	1.2517	0.11858	-0.21674	1.8453	2.1059	3.0813	-0.23841	0.15619	0.56817	3.18	0.50145	-0.047231	0.12629	0.3006	1.8211	-0.25811	0.26955	0.6757	3.5685	-0.12054	0.4844	0.095779	1.324	0.12014	2.8795	2.7601	0.80051	2.1124	0.36408	0.53961	0.25997	1.0098	2.0492	0.30632	0.40713	-0.2638
Nbeal2	1.7419	2.5754	0.70413	0.15178	1.4372	1.4793	0.41579	-0.19748	0.060783	-0.066574	-0.045307	0.30334	0.39754	0.55382	0.36	-0.054587	0.049008	0.77576	-0.082729	2.3317	0.86129	1.8287	2.5584	0.39008	0.75398	2.8221	0.97417	1.0104	2.0144	0.90386	2.3928	0.30869	0.097869	1.8439	0.45121	3.7815	2.1378	2.699	0.59497	0.31775	0.73578	1.6884	1.2553	2.1448	0.29917	0.82929	1.0896	1.683	-0.29502	0.21561	3.3569	3.2516	1.4546	1.643	3.2356	0.48103	0.32315	2.7252	0.32169	1.0625	2.8357	0.26436	-0.0074851	0.073833	3.0725	0.42766	-0.19779	0.37528	0.36609	0.2451	-0.22607	0.19879	2.2093	0.52343	1.7332	-0.049123	0.37331	0.34697	2.2617	0.13812	1.474
A930024E05Rik	0.0022723	0.078718	0.68064	0.047975	3.1651	1.5911	0.12417	1.7302	0.017335	1.4748	-0.018388	0.099006	0.030255	0.85903	0.52759	0.50487	0.32631	3.4057	-0.030988	2.2475	0.96203	2.4875	0.002789	0.28528	0.062205	-0.097535	0.37257	0.72536	0.25092	0.39349	2.1331	0.05294	0.96733	1.8694	0.53973	0.83732	0.056408	1.254	-0.077762	0.84468	0.8616	1.2243	3.2787	1.5823	1.3105	0.8507	0.50582	0.29987	0.54977	0.32988	1.2096	1.0704	0.93566	-0.0017237	1.6614	0.18151	0.34456	2.2692	2.0167	2.7271	-0.067687	0.062656	2.5834	1.1499	-0.033704	0.046491	1.4076	0.030629	0.025748	1.8017	0.43964	0.063804	0.70795	3.2879	0.026712	-0.019673	0.12257	0.19957	1.2219	0.043376	2.4394
Capg	2.8507	3.7765	2.6041	4.3135	3.9097	1.4601	1.9207	3.3319	4.3991	1.1013	3.7851	1.6791	3.1655	2.4244	3.0822	3.7551	3.4388	2.9977	2.6102	4.042	2.8836	2.0181	3.851	3.2483	4.1379	2.4194	3.3397	2.7519	1.9245	3.9311	2.7875	3.1507	4.0062	3.2391	3.4387	3.4604	3.7508	2.4649	3.2575	4.5304	3.2833	3.1972	3.0185	3.8051	2.9983	1.4572	3.5812	3.2161	3.1084	3.2097	4.0862	3.1035	4.3424	3.6399	3.044	3.0219	3.1657	4.1858	3.2891	4.0604	3.4169	4.1066	3.9527	4.3322	3.328	3.6016	2.8973	0.60962	3.7569	1.6041	3.6021	1.8417	3.2994	4.0419	4.3145	1.8973	2.4936	2.0696	4.1557	4.505	3.2061
Nfil3	2.48	2.9261	1.3679	3.1622	3.0852	1.2908	2.6617	3.1859	3.6476	3.6237	3.5228	1.3772	3.5058	3.5741	3.0826	3.7329	3.6934	3.0328	2.6409	2.4292	3.007	2.4226	3.4402	0.48704	2.7594	2.9632	3.6589	3.7136	2.7828	2.9781	2.7804	2.3393	3.1358	2.5356	3.3697	3.6321	3.5464	1.0958	3.3422	2.7592	3.0499	2.9983	2.7922	3.3792	2.7289	3.1041	2.7299	2.532	3.1167	2.5057	3.4577	2.8988	3.2658	3.4606	3.0136	3.9206	2.2821	3.6748	3.5684	1.1763	3.0478	2.983	3.0169	3.9425	3.8656	2.2895	2.1485	2.3688	2.8695	3.2843	2.5803	1.3567	2.888	3.1888	3.3245	2.8365	1.687	3.3353	2.4412	3.2382	2.0359
Dnahc9	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	0.3613	-0.00060608	0.29211	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	0.24226	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	0.15621	0.17972	3.2059	0.20259	0.55066	-0.00060608	0.73369	-0.00060608	0.37733	-0.00060608	-0.00060608	-0.00060608	0.031262	-0.00060608	-0.00060608	-0.00060608	0.54808	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	0.57082	-0.00060608	-0.00060608	-0.00060608	0.11541	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	-0.00060608	0.35193
Setd3	0.85254	1.2636	2.5227	1.3747	2.6738	1.8795	1.8972	1.923	2.9759	1.8311	2.4917	1.8065	2.7241	0.39204	1.9891	1.3502	2.7501	0.64608	0.90481	1.2256	-0.19494	1.7148	3.5591	-0.19749	0.84909	1.8386	2.6423	2.5935	1.5734	1.0353	1.9269	0.7312	1.7188	1.2037	2.3483	2.3037	3.0392	0.47894	2.1639	0.88879	1.8038	-0.59549	0.10152	3.1529	1.773	1.8301	1.5057	2.3557	2.4809	2.7272	1.4793	2.218	0.87595	0.88952	1.8189	1.9593	1.7165	0.55621	0.32186	3.1452	2.645	3.3836	0.34127	0.73921	2.5734	1.0988	1.9813	0.96619	0.3852	3.6013	2.4486	2.1328	2.1529	2.1695	0.39747	2.6396	1.8731	1.0791	1.2065	0.6095	2.0621
Tsnax	2.9487	1.4323	2.3403	0.99112	-0.015485	1.7238	1.6853	2.0275	3.9424	1.6929	-0.18411	1.7638	1.5662	0.86813	2.4646	3.1287	3.9974	1.4004	2.3002	1.2937	3.0045	3.1023	3.5399	3.0033	0.87268	0.62692	2.869	2.4729	2.8796	3.2183	2.0095	1.0004	0.86842	2.5351	2.8247	0.44971	2.6431	1.9116	1.4649	1.1236	2.2701	1.1811	2.7263	3.4903	0.97677	2.2393	2.1202	2.2332	2.828	0.83373	2.9197	1.2516	0.51139	2.1894	2.6791	1.6616	1.1068	1.3691	3.0498	2.148	2.5699	3.5049	3.488	3.4926	1.9975	0.66662	1.1093	1.1164	3.456	2.7938	2.6444	1.5346	1.4364	3.7311	2.6928	2.5606	2.7921	3.1767	1.2338	3.8329	1.2612
Pcbp2	2.5832	2.848	2.9026	3.6992	3.0895	1.4734	3.1638	2.4436	3.9063	2.8795	3.1851	1.8009	2.8918	3.3933	2.6533	2.4578	1.1202	2.3962	2.9346	3.2573	2.973	2.4093	3.6192	2.4034	2.4792	2.1529	2.9525	2.8232	2.6758	1.4241	2.6713	3.0507	2.1971	2.5298	2.9013	3.4599	3.0529	2.2768	2.7026	3.1055	2.6964	2.3511	1.7254	2.9196	2.3734	1.6668	2.9989	2.686	2.0281	2.2255	3.0862	2.5804	1.5187	2.8516	2.5024	2.1595	3.1628	2.9115	2.8339	3.3529	3.1122	1.6583	3.12	2.8603	2.8439	2.3032	2.6632	2.769	3.0509	3.4808	2.5341	2.3594	2.4143	3.3208	2.6551	2.7414	1.6795	1.4115	4.0074	3.571	2.747
Glipr1	0.049931	1.0808	2.7669	3.3961	3.113	0.89245	1.1929	2.9261	0.16475	0.1141	3.2196	1.2764	0.56162	0.23298	-0.65191	1.9859	0.13453	2.9791	2.5132	0.3578	1.8826	0.51796	1.068	-0.31871	3.5592	2.4203	0.33994	1.7846	0.9194	1.7558	-0.91449	1.0502	2.4344	2.7948	2.6488	1.2066	1.4595	0.854	0.52426	0.23766	1.1773	0.18928	2.1477	2.3628	0.59276	0.65938	2.7488	0.59449	2.6982	2.7082	3.0577	0.26776	2.6987	0.96919	2.6237	0.97876	-0.086275	0.24046	0.5657	3.3983	3.2735	0.57921	0.92671	0.19825	0.23448	2.4474	0.72574	0.95664	0.39115	0.63786	-0.57154	1.1923	0.098164	3.2691	0.49166	2.4412	1.7899	1.3106	0.71329	0.36326	-0.49406
Immp2l	0.017401	0.23197	0.71131	0.14568	-0.0044931	0.29134	0.35955	-0.1844	0.059678	-0.060686	3.022	0.28891	0.095941	0.084801	-0.24102	2.2247	0.048549	-0.23868	-0.075954	0.13076	-0.14577	-0.075277	0.018852	-0.11833	0.18562	-0.26273	-0.10508	-0.21048	0.55181	0.20321	3.0955	0.15961	2.7972	0.55272	-0.12835	1.6739	0.16935	-0.064355	-0.20723	2.5336	-0.18151	-0.13303	3.1955	0.63143	0.38757	0.7797	0.28269	2.7293	3.1421	-0.16505	1.1867	0.41223	0.68519	0.0061856	2.8769	0.34766	-0.03275	0.087553	0.53	-0.070012	-0.17896	0.36784	2.5263	0.68373	3.1007	0.14151	-0.1847	0.16757	0.083292	0.23388	0.30747	0.31588	2.5479	3.0754	0.34142	3.1311	0.35504	0.2078	0.44851	0.13277	-0.1829
Sipa1	0.95548	2.1535	2.7061	2.1995	2.5674	1.6908	1.0771	1.9363	2.3638	1.4746	0.77468	0.98399	2.2033	3.4561	0.29639	1.4887	1.481	1.5821	2.4841	3.0804	0.80857	2.3779	0.87543	2.5484	0.94467	1.4984	3.3417	3.0569	3.0235	1.9472	2.6745	2.9353	0.79049	3.1438	2.8972	2.4077	3.1349	2.575	2.7646	0.42873	2.3536	1.9701	1.3902	2.89	2.5507	0.62317	0.063213	1.5286	2.3021	1.901	2.0495	0.58228	3.3286	2.8116	1.7073	0.92747	-0.079259	0.55598	2.1918	2.7514	3.1038	2.3783	1.5836	0.77789	2.1516	2.1335	1.5314	2.5979	2.4883	0.66139	1.9334	1.4345	1.535	2.3442	0.8236	0.83843	1.7325	2.8652	3.0087	2.0764	0.89629
4922501C03Rik	1.3132	2.7288	1.7484	2.9891	1.8703	1.9785	1.157	3.0406	0.13235	2.4221	2.4136	1.1321	0.21313	1.0211	0.48257	2.0905	1.1735	1.6341	1.4315	0.4766	1.6839	1.0143	1.0556	-0.26421	2.5259	2.6495	0.38797	1.1212	3.2901	0.55858	2.6517	1.0084	0.63079	-0.57232	2.6453	0.71743	1.0417	0.38649	0.62217	0.90607	2.3252	2.5124	3.0415	2.5983	2.1846	2.9506	0.47012	1.8004	2.4315	0.6871	2.2811	0.3452	1.5236	1.076	2.8759	1.7802	1.0527	1.188	2.3909	3.243	2.6995	1.5794	0.85625	0.77154	0.27202	0.59493	1.7152	1.8149	1.2953	0.52041	1.6879	2.4979	2.8092	0.39604	0.19098	2.5487	1.4159	2.0586	3.3694	0.29517	-0.40803
Acbd4	1.8711	1.8066	2.3335	-0.0060254	-0.0060254	-0.0060254	-0.0060254	-0.0060254	3.0427	-0.0060254	0.7178	-0.0060254	-0.0060254	-0.0060254	3.1719	-0.0060254	-0.0060254	-0.0060254	1.1724	-0.0060254	0.81612	1.4202	2.4472	-0.0060254	2.5795	1.603	0.40791	-0.0060254	0.23191	0.10047	2.8488	-0.0060254	2.2234	-0.0060254	-0.0060254	0.2521	-0.0060254	0.90807	-0.0060254	3.354	1.7066	1.6433	1.4657	1.8026	0.54814	0.18846	-0.0060254	1.7066	1.3386	1.0493	-0.0060254	0.81186	-0.0060254	-0.0060254	3.584	-0.0060254	3.0476	1.3051	0.38263	-0.0060254	2.6848	-0.0060254	0.54303	3.2134	0.67162	0.44364	1.6029	1.5088	0.27429	3.2337	0.6432	-0.0060254	1.7179	0.29826	0.95128	-0.0060254	-0.0060254	-0.0060254	2.4599	1.6933	2.6895
Jmjd6	2.0893	3.0454	2.8732	4.2414	2.9819	1.4309	3.741	2.16	4.1211	2.9279	3.5504	2.2408	2.6458	4.0514	3.0236	3.4233	3.6666	2.9383	2.8264	3.2579	2.1042	3.3977	3.8919	3.1814	1.0434	1.9116	3.0824	3.3082	3.2555	2.1289	2.9772	1.6926	3.4512	2.2768	2.9574	4.078	3.3449	1.4638	3.2863	3.0176	2.9138	3.4193	2.8894	3.1626	3.2016	2.4306	3.1362	2.6793	2.4707	2.963	3.5448	2.7772	3.509	2.7879	3.1701	1.6258	3.1976	3.8701	3.0022	3.5552	2.6427	2.7159	2.9423	3.8716	3.3607	2.2348	2.3534	2.5645	2.1666	3.756	3.0781	2.0355	2.507	3.0746	3.3313	1.4068	2.482	3.0835	4.0845	1.7644	2.1415
Ide	0.77874	3.3064	2.3129	0.62075	2.7548	2.9456	2.0041	2.1686	0.95603	-0.25324	2.8324	1.9189	2.3477	1.5271	2.1954	3.1385	0.52233	0.82137	1.3322	2.4268	1.7681	1.2327	1.3236	2.6488	3.2047	1.4908	3.3499	2.5596	0.79904	0.8644	2.4064	2.2116	3.2875	2.4566	0.93952	3.5407	2.8041	2.8509	2.8603	3.2312	2.6847	2.8309	2.9569	2.9417	2.8038	1.4492	0.94472	0.93851	1.9026	1.4189	1.1305	1.8281	1.9038	1.8426	1.1802	2.6704	3.4386	1.8556	0.66299	3.1391	3.2485	1.7317	2.4193	0.92048	2.9705	1.7134	2.0555	1.228	2.8986	3.1953	2.8778	1.5921	3.0168	3.4567	2.9654	2.7718	2.1599	1.8731	1.0371	0.78171	2.5798
Skap1	2.7693	3.2304	2.6984	3.3712	2.5819	1.1347	1.384	2.6424	3.8294	2.6828	2.4842	1.7417	3.705	3.8717	3.0239	1.9621	3.5176	1.9272	3.018	3.7505	3.2954	3.05	3.2247	3.001	2.7618	2.7335	3.3684	1.5897	2.6217	1.5593	2.8743	1.7565	2.0108	2.7772	2.3565	3.5993	2.0094	0.84083	1.453	3.6745	2.9261	3.0639	2.0747	2.801	3.1104	1.3224	2.8175	2.9988	2.5066	2.893	3.5809	2.5695	3.3985	3.1204	2.8996	1.6126	2.5904	2.965	3.356	3.1059	2.7637	1.2397	2.8151	3.77	3.2623	3.7296	2.4801	2.1673	0.5747	4.1115	2.8487	1.7964	2.2063	3.9015	3.8554	3.2893	2.7487	2.6605	3.6513	3.3865	0.023524
Ero1lb	0.25281	-0.0029077	-0.0029077	0.30213	3.0652	-0.0029077	-0.0029077	-0.0029077	-0.0029077	-0.0029077	3.4269	0.09733	-0.0029077	0.28981	-0.0029077	-0.0029077	2.5641	-0.0029077	0.33209	-0.0029077	-0.0029077	-0.0029077	2.7633	-0.0029077	2.5058	-0.0029077	-0.0029077	-0.0029077	-0.0029077	-0.0029077	2.2001	-0.0029077	-0.0029077	-0.0029077	0.38442	1.5585	-0.0029077	-0.0029077	0.57352	2.5747	-0.0029077	-0.0029077	-0.0029077	-0.0029077	-0.0029077	0.19158	-0.0029077	0.54836	1.4062	-0.0029077	0.40836	-0.0029077	-0.0029077	-0.0029077	1.6756	-0.0029077	0.21327	0.7472	-0.0029077	-0.0029077	2.0948	-0.0029077	1.7775	-0.0029077	-0.0029077	0.27738	-0.0029077	-0.0029077	-0.0029077	-0.0029077	-0.0029077	0.12287	2.1098	-0.0029077	-0.0029077	-0.0029077	-0.0029077	1.4179	-0.0029077	-0.0029077	2.0711
Ebf1	1.7398	1.632	1.8187	1.759	2.8178	1.0694	0.7612	1.8961	1.87	3.1092	1.9546	1.2932	1.602	1.8659	3.7987	1.8137	3.2109	2.065	1.808	1.4689	1.9633	1.9285	2.3655	1.8666	1.5394	2.2208	1.9195	3.4066	1.6667	1.1489	3.1486	1.302	2.2662	2.0772	1.9153	1.7815	1.2493	1.8115	2.1412	1.6308	1.977	1.9945	2.124	1.6124	1.7023	1.7241	3.0718	1.8858	2.1755	2.0067	1.8982	1.9143	1.9486	1.7632	2.4672	0.9491	1.8532	1.7453	3.5096	2.2034	2.3344	1.1358	1.7866	2.322	1.9641	1.8625	1.9419	1.3429	1.6608	1.8273	2.0436	1.4647	1.6243	1.8946	1.6244	1.7103	1.0597	1.3038	1.369	2.6831	1.9051
Zfp180	0.44251	0.64354	2.0414	0.53353	-0.007938	0.55637	0.98652	3.3247	0.093096	0.34777	3.0393	2.1811	1.1023	2.6555	-0.38033	0.57898	0.075573	1.4356	0.84298	1.7959	1.0251	1.7757	1.0897	2.1653	0.29138	-0.41452	0.59701	2.7479	0.99536	0.31907	3.1259	0.97335	0.65048	0.16522	-0.20295	3.8056	3.0692	0.81191	0.48947	0.6243	2.5303	2.1493	1.5326	2.2398	2.0045	2.4162	2.3148	0.81526	0.21591	0.57845	1.3827	0.11683	1.3838	1.0371	0.96963	0.54651	0.63668	0.13698	-0.096991	0.43759	2.4911	0.29337	0.77638	1.9674	-0.13245	1.9798	1.7389	0.62132	0.13027	0.71513	1.8363	0.82475	2.2757	0.064406	0.13454	3.2088	0.92724	0.3263	0.3335	2.0395	0.57402
Cep110	2.8989	2.9208	2.7731	1.2794	3.9864	3.96	2.1922	2.1993	3.943	3.2608	2.2028	2.1905	2.5892	3.027	2.7076	3.1562	3.5858	2.8038	3.1821	2.5475	2.9579	3.0358	1.2971	3.0346	1.7237	2.55	3.0661	2.8312	3.552	3.7598	2.2765	2.7626	3.7948	2.8692	3.3789	1.9775	2.7172	3.6355	2.6541	3.2634	2.7643	2.2925	2.707	3.3397	3.1187	3.8273	2.4635	2.8252	2.939	3.0117	2.6887	3.0273	1.4699	3.2904	2.5996	2.4614	2.1931	1.7965	2.4545	3.7843	2.4119	1.8133	2.0031	2.3586	3.3314	2.0304	2.7408	3.6001	4.0697	4.1475	2.0125	1.9607	2.3727	3.0273	1.9315	3.2193	2.5777	1.9605	2.396	3.7953	2.045
Npm1	4.1662	4.5368	4.1295	4.6385	4.2556	4.2416	3.1257	4.0182	4.6952	4.1366	4.3128	3.0044	4.6088	4.7676	3.8877	4.5183	4.7459	3.8367	3.9357	4.5927	3.9624	4.2969	4.3081	4.2267	4.93	3.9974	4.1819	3.7609	3.6983	3.6668	3.9997	3.9535	4.7883	4.0073	4.2908	4.7367	4.2842	4.6319	4.0638	4.8841	4.2809	3.7873	4.2245	4.2514	3.5897	3.7121	4.2638	4.1013	4.0899	3.7378	4.3478	4.1833	3.9	4.313	3.7631	3.4898	4.4779	4.3227	4.2527	4.5948	4.6213	4.1196	4.2914	4.647	3.8876	4.3326	3.9824	3.8197	4.3726	4.2728	4.0475	3.8571	4.1043	4.9223	4.4831	4.4188	3.6522	3.6636	3.9207	4.6326	3.9369
Chd6	2.8021	2.0069	1.7749	1.8573	2.9876	2.1321	1.1334	0.8508	0.14284	2.8484	0.39567	1.3932	0.7053	3.392	2.7902	1.9153	3.0817	2.4632	2.2369	2.789	2.3704	2.7545	2.6805	1.0481	1.3816	0.39192	2.614	1.9888	3.1162	3.4518	2.6004	2.5489	0.79939	2.3194	0.73169	1.6035	2.7123	3.7788	2.0037	1.07	1.05	1.8124	1.5474	2.9497	1.1543	1.6274	1.6899	2.277	2.8455	0.51869	2.5797	2.9461	3.6105	2.4633	2.6657	1.1915	2.0806	0.5642	2.6675	2.4818	2.3972	0.72295	2.2015	2.7337	-0.20638	1.087	2.2448	1.0925	2.1234	3.5408	1.1034	3.3088	2.3135	3.1551	1.0789	2.5283	1.834	1.1209	0.90368	0.78837	2.2571
Ado	0.35225	3.4718	-0.1083	0.75448	0.24598	1.5016	1.9239	2.8304	0.31338	0.55695	2.4328	1.4892	2.7295	0.90869	1.5715	3.0212	2.7226	2.7389	1.5097	1.4824	2.4935	3.3721	2.604	2.0615	2.2247	1.1745	0.090968	3.0561	0.48876	1.6592	2.2592	1.3486	1.7491	2.0212	3.2293	4.2237	1.6503	2.388	2.7689	3.1655	2.6464	2.2634	2.9034	0.65304	1.105	1.6172	0.9875	2.4845	-0.75916	1.6949	2.1002	2.7057	3.1502	3.0864	2.7685	2.8317	3.2872	2.9431	2.7769	3.6201	2.5179	1.6925	2.9158	3.5902	1.2295	1.6522	1.4303	1.3182	4.0657	1.7829	3.0393	1.8533	2.1308	3.9829	3.6064	1.4537	2.0144	1.6901	3.9934	1.1556	2.8983
